vendor,memo,amount_cents,account
GitHub,auto-pay,4701465,6410 Monitoring & Tooling
Brex,,2452199,6510 Bank Fees
DocuSign,invoice B-6540,955734,6300 Software Subscriptions
WeWork,,2103171,6200 Rent & Facilities
Deel Inc,invoice B-4314,4430431,6000 Payroll
Gusto Payroll,monthly subscription,19549,6000 Payroll
Stripe Billing,auto-pay,2657990,6500 Payment Processing Fees
AWS,services B-3643,3927395,6400 Cloud Infrastructure
DocuSign,,398921,6300 Software Subscriptions
Gusto Payroll,,2398448,6000 Payroll
LaunchDarkly,auto-pay,3088852,6300 Software Subscriptions
WeWork,services B-6083,5928860,6200 Rent & Facilities
OpenPhone,annual renewal,1191148,6420 Communications
LaunchDarkly,,5087943,6300 Software Subscriptions
Segment,usage charges,3565482,6300 Software Subscriptions
Mercury Bank,annual renewal,5259099,6510 Bank Fees
Zoom Video,invoice B-2882,731950,6300 Software Subscriptions
Notion Labs,auto-pay,4151781,6300 Software Subscriptions
Snowflake,auto-pay,2725899,6400 Cloud Infrastructure
Linear,invoice B-3124,4199597,6300 Software Subscriptions
Figma,,3245252,6300 Software Subscriptions
Brex,monthly subscription,2618806,6510 Bank Fees
GitHub,monthly subscription,5227140,6410 Monitoring & Tooling
Airtable,,2376884,6300 Software Subscriptions
Airtable,monthly subscription,5446534,6300 Software Subscriptions
Datadog,invoice B-7126,7751,6410 Monitoring & Tooling
LaunchDarkly,invoice B-1446,4794240,6300 Software Subscriptions
Snowflake,invoice B-2870,292879,6400 Cloud Infrastructure
Zoom Video,usage charges,5805591,6300 Software Subscriptions
Retool,usage charges,5119640,6300 Software Subscriptions
Datadog,usage charges,3349410,6410 Monitoring & Tooling
Figma,monthly subscription,2020725,6300 Software Subscriptions
Snowflake,usage charges,5026449,6400 Cloud Infrastructure
Datadog,services B-8233,491450,6410 Monitoring & Tooling
Gusto Payroll,annual renewal,4760978,6000 Payroll
Stripe Billing,monthly subscription,315859,6500 Payment Processing Fees
Figma,,4374806,6300 Software Subscriptions
Brex,usage charges,2244594,6510 Bank Fees
Atlassian,auto-pay,5848613,6300 Software Subscriptions
Linear,monthly subscription,2467574,6300 Software Subscriptions
Gusto Payroll,,2424056,6000 Payroll
OpenPhone,monthly subscription,2436568,6420 Communications
AWS,auto-pay,5463714,6400 Cloud Infrastructure
Segment,,5524274,6300 Software Subscriptions
Notion Labs,auto-pay,3171001,6300 Software Subscriptions
LaunchDarkly,monthly subscription,3985456,6300 Software Subscriptions
Figma,annual renewal,3978817,6300 Software Subscriptions
Segment,annual renewal,5715104,6300 Software Subscriptions
AWS,usage charges,1075760,6400 Cloud Infrastructure
Linear,invoice B-8980,459508,6300 Software Subscriptions
Brex,annual renewal,1562877,6510 Bank Fees
Retool,services B-7015,1811707,6300 Software Subscriptions
Deel Inc,,3105453,6000 Payroll
Stripe Billing,auto-pay,4996599,6500 Payment Processing Fees
DocuSign,monthly subscription,2671332,6300 Software Subscriptions
Zoom Video,invoice B-3701,3198836,6300 Software Subscriptions
OpenPhone,invoice B-7971,814606,6420 Communications
GitHub,usage charges,4320054,6410 Monitoring & Tooling
Airtable,annual renewal,2593760,6300 Software Subscriptions
DocuSign,monthly subscription,5339949,6300 Software Subscriptions
WeWork,,1608744,6200 Rent & Facilities
Linear,usage charges,3698594,6300 Software Subscriptions
Amplitude,usage charges,1335670,6300 Software Subscriptions
Linear,services B-1504,5231332,6300 Software Subscriptions
Zoom Video,usage charges,4771012,6300 Software Subscriptions
Mercury Bank,monthly subscription,1162423,6510 Bank Fees
GitHub,monthly subscription,4825307,6410 Monitoring & Tooling
Google Cloud,annual renewal,4599837,6400 Cloud Infrastructure
Atlassian,usage charges,4617424,6300 Software Subscriptions
WeWork,invoice B-9477,4565051,6200 Rent & Facilities
LaunchDarkly,annual renewal,3328093,6300 Software Subscriptions
Amplitude,auto-pay,1408963,6300 Software Subscriptions
WeWork,monthly subscription,971900,6200 Rent & Facilities
AWS,services B-3233,4546632,6400 Cloud Infrastructure
Rippling,,1257710,6000 Payroll
Snowflake,invoice B-5722,3280146,6400 Cloud Infrastructure
Google Cloud,auto-pay,593052,6400 Cloud Infrastructure
Airtable,annual renewal,3863793,6300 Software Subscriptions
Airtable,services B-3354,963360,6300 Software Subscriptions
Retool,annual renewal,4345821,6300 Software Subscriptions
Amplitude,auto-pay,96709,6300 Software Subscriptions
Brex,invoice B-5268,4988317,6510 Bank Fees
Retool,annual renewal,4925025,6300 Software Subscriptions
OpenPhone,usage charges,335332,6420 Communications
Gusto Payroll,annual renewal,3882628,6000 Payroll
DocuSign,monthly subscription,3253141,6300 Software Subscriptions
Retool,invoice B-6531,2048039,6300 Software Subscriptions
Datadog,auto-pay,2750130,6410 Monitoring & Tooling
Google Cloud,annual renewal,397931,6400 Cloud Infrastructure
Rippling,monthly subscription,4132262,6000 Payroll
Notion Labs,services B-6942,3502726,6300 Software Subscriptions
Gusto Payroll,services B-1435,5547185,6000 Payroll
DocuSign,auto-pay,2728589,6300 Software Subscriptions
DocuSign,annual renewal,5724426,6300 Software Subscriptions
Airtable,annual renewal,3455026,6300 Software Subscriptions
Retool,auto-pay,2848173,6300 Software Subscriptions
Brex,,5799331,6510 Bank Fees
Twilio,usage charges,5260909,6420 Communications
OpenPhone,services B-4967,3089218,6420 Communications
Amplitude,services B-1759,4834400,6300 Software Subscriptions
AWS,annual renewal,4219114,6400 Cloud Infrastructure
Figma,auto-pay,3597378,6300 Software Subscriptions
Zoom Video,,340185,6300 Software Subscriptions
Linear,annual renewal,4054153,6300 Software Subscriptions
Snowflake,usage charges,1050128,6400 Cloud Infrastructure
Gusto Payroll,usage charges,436137,6000 Payroll
Airtable,,1509517,6300 Software Subscriptions
Atlassian,monthly subscription,1074909,6300 Software Subscriptions
Datadog,,2091128,6410 Monitoring & Tooling
Stripe Billing,annual renewal,897496,6500 Payment Processing Fees
Airtable,auto-pay,1955494,6300 Software Subscriptions
Snowflake,monthly subscription,4520775,6400 Cloud Infrastructure
Atlassian,invoice B-3187,366421,6300 Software Subscriptions
Twilio,usage charges,4322608,6420 Communications
Snowflake,usage charges,984118,6400 Cloud Infrastructure
Figma,invoice B-8724,3356398,6300 Software Subscriptions
Retool,usage charges,1028868,6300 Software Subscriptions
Zoom Video,services B-6290,3800732,6300 Software Subscriptions
Brex,,1661313,6510 Bank Fees
Deel Inc,annual renewal,5682155,6000 Payroll
Airtable,monthly subscription,2063925,6300 Software Subscriptions
GitHub,services B-4117,801018,6410 Monitoring & Tooling
Google Cloud,usage charges,5172117,6400 Cloud Infrastructure
Segment,monthly subscription,3388349,6300 Software Subscriptions
Brex,,124458,6510 Bank Fees
Segment,auto-pay,769576,6300 Software Subscriptions
Google Cloud,auto-pay,1543861,6400 Cloud Infrastructure
Linear,auto-pay,3191631,6300 Software Subscriptions
LaunchDarkly,monthly subscription,4999651,6300 Software Subscriptions
DocuSign,,1372496,6300 Software Subscriptions
LaunchDarkly,annual renewal,2358707,6300 Software Subscriptions
Mercury Bank,services B-3459,5448288,6510 Bank Fees
LaunchDarkly,,5898427,6300 Software Subscriptions
Datadog,,3253787,6410 Monitoring & Tooling
GitHub,auto-pay,5882312,6410 Monitoring & Tooling
Deel Inc,services B-3078,2669001,6000 Payroll
Datadog,monthly subscription,3452371,6410 Monitoring & Tooling
Atlassian,monthly subscription,3944629,6300 Software Subscriptions
WeWork,auto-pay,638970,6200 Rent & Facilities
Linear,monthly subscription,3298899,6300 Software Subscriptions
DocuSign,auto-pay,5021338,6300 Software Subscriptions
Stripe Billing,annual renewal,4375120,6500 Payment Processing Fees
Deel Inc,,5725264,6000 Payroll
Rippling,monthly subscription,1482658,6000 Payroll
Twilio,usage charges,1172407,6420 Communications
Linear,annual renewal,3540945,6300 Software Subscriptions
Figma,auto-pay,5443518,6300 Software Subscriptions
AWS,auto-pay,3976936,6400 Cloud Infrastructure
Gusto Payroll,,2092613,6000 Payroll
WeWork,invoice B-7131,3984585,6200 Rent & Facilities
Google Cloud,,2022975,6400 Cloud Infrastructure
Mercury Bank,monthly subscription,1105481,6510 Bank Fees
Brex,usage charges,4330379,6510 Bank Fees
Mercury Bank,,3327880,6510 Bank Fees
Snowflake,services B-5697,3546333,6400 Cloud Infrastructure
Linear,auto-pay,4665107,6300 Software Subscriptions
WeWork,usage charges,3956741,6200 Rent & Facilities
Linear,,3544871,6300 Software Subscriptions
Google Cloud,services B-1691,3584801,6400 Cloud Infrastructure
Twilio,auto-pay,2164287,6420 Communications
Atlassian,usage charges,2303218,6300 Software Subscriptions
LaunchDarkly,,2678430,6300 Software Subscriptions
Atlassian,invoice B-4675,3705413,6300 Software Subscriptions
Zoom Video,annual renewal,1389013,6300 Software Subscriptions
Atlassian,annual renewal,521351,6300 Software Subscriptions
Datadog,monthly subscription,4195405,6410 Monitoring & Tooling
WeWork,annual renewal,4919050,6200 Rent & Facilities
Airtable,monthly subscription,2489955,6300 Software Subscriptions
Datadog,auto-pay,1418737,6410 Monitoring & Tooling
Snowflake,services B-8429,4503608,6400 Cloud Infrastructure
DocuSign,services B-4808,3569774,6300 Software Subscriptions
Twilio,annual renewal,1783491,6420 Communications
Figma,services B-5980,2380006,6300 Software Subscriptions
Gusto Payroll,auto-pay,5366327,6000 Payroll
Rippling,usage charges,1280847,6000 Payroll
Rippling,usage charges,3555789,6000 Payroll
Twilio,invoice B-3984,2470207,6420 Communications
Snowflake,annual renewal,578792,6400 Cloud Infrastructure
DocuSign,annual renewal,1706989,6300 Software Subscriptions
Datadog,auto-pay,348883,6410 Monitoring & Tooling
Mercury Bank,monthly subscription,2523041,6510 Bank Fees
Deel Inc,annual renewal,4742432,6000 Payroll
Snowflake,services B-6895,2773744,6400 Cloud Infrastructure
DocuSign,invoice B-9097,725578,6300 Software Subscriptions
DocuSign,usage charges,1727504,6300 Software Subscriptions
LaunchDarkly,,3895203,6300 Software Subscriptions
Airtable,,4486263,6300 Software Subscriptions
Twilio,services B-3432,2465062,6420 Communications
Notion Labs,annual renewal,5970590,6300 Software Subscriptions
Google Cloud,auto-pay,5141322,6400 Cloud Infrastructure
Retool,usage charges,1801005,6300 Software Subscriptions
Google Cloud,usage charges,4152590,6400 Cloud Infrastructure
Datadog,invoice B-9563,581991,6410 Monitoring & Tooling
Deel Inc,invoice B-2176,321031,6000 Payroll
Mercury Bank,monthly subscription,1678974,6510 Bank Fees
Brex,monthly subscription,546845,6510 Bank Fees
Snowflake,services B-6914,489887,6400 Cloud Infrastructure
Mercury Bank,usage charges,1474034,6510 Bank Fees
DocuSign,invoice B-9574,5231330,6300 Software Subscriptions
OpenPhone,auto-pay,3618422,6420 Communications
Datadog,invoice B-1145,3229838,6410 Monitoring & Tooling
Atlassian,monthly subscription,2937639,6300 Software Subscriptions
Gusto Payroll,monthly subscription,5761911,6000 Payroll
Figma,annual renewal,2129755,6300 Software Subscriptions
Segment,services B-3179,3903068,6300 Software Subscriptions
Deel Inc,,3223294,6000 Payroll
Amplitude,usage charges,16136,6300 Software Subscriptions
Snowflake,invoice B-9359,554032,6400 Cloud Infrastructure
Mercury Bank,,3682131,6510 Bank Fees
Zoom Video,auto-pay,1425873,6300 Software Subscriptions
Segment,usage charges,1945674,6300 Software Subscriptions
Atlassian,annual renewal,390027,6300 Software Subscriptions
Deel Inc,annual renewal,96469,6000 Payroll
Mercury Bank,services B-9713,1958683,6510 Bank Fees
Figma,usage charges,1958814,6300 Software Subscriptions
Google Cloud,invoice B-2893,103706,6400 Cloud Infrastructure
LaunchDarkly,services B-7837,421397,6300 Software Subscriptions
Rippling,monthly subscription,399677,6000 Payroll
LaunchDarkly,services B-3855,2467023,6300 Software Subscriptions
Retool,services B-7533,1030003,6300 Software Subscriptions
Retool,annual renewal,864171,6300 Software Subscriptions
Rippling,usage charges,5259513,6000 Payroll
Mercury Bank,auto-pay,3433997,6510 Bank Fees
Atlassian,annual renewal,3664267,6300 Software Subscriptions
Retool,usage charges,1142523,6300 Software Subscriptions
Datadog,,3304769,6410 Monitoring & Tooling
Linear,services B-4629,2119379,6300 Software Subscriptions
Brex,invoice B-3825,400246,6510 Bank Fees
Snowflake,services B-2608,1721407,6400 Cloud Infrastructure
Stripe Billing,usage charges,4620385,6500 Payment Processing Fees
WeWork,monthly subscription,2565147,6200 Rent & Facilities
Rippling,services B-4206,3835430,6000 Payroll
Linear,monthly subscription,2094438,6300 Software Subscriptions
Mercury Bank,,705939,6510 Bank Fees
Amplitude,usage charges,5892494,6300 Software Subscriptions
Datadog,invoice B-3576,5569782,6410 Monitoring & Tooling
Brex,auto-pay,2866811,6510 Bank Fees
Segment,monthly subscription,1802161,6300 Software Subscriptions
GitHub,invoice B-6007,119084,6410 Monitoring & Tooling
Atlassian,invoice B-7140,223138,6300 Software Subscriptions
AWS,annual renewal,328102,6400 Cloud Infrastructure
LaunchDarkly,usage charges,5285256,6300 Software Subscriptions
LaunchDarkly,auto-pay,243098,6300 Software Subscriptions
AWS,,252696,6400 Cloud Infrastructure
Mercury Bank,services B-3017,5560583,6510 Bank Fees
GitHub,auto-pay,4245770,6410 Monitoring & Tooling
Brex,invoice B-6791,2046329,6510 Bank Fees
Twilio,invoice B-2569,3366933,6420 Communications
Linear,usage charges,2800205,6300 Software Subscriptions
Datadog,monthly subscription,4956852,6410 Monitoring & Tooling
Mercury Bank,,2315010,6510 Bank Fees
Rippling,,4200723,6000 Payroll
AWS,usage charges,372620,6400 Cloud Infrastructure
Datadog,annual renewal,3810528,6410 Monitoring & Tooling
Google Cloud,monthly subscription,3136199,6400 Cloud Infrastructure
AWS,monthly subscription,5419266,6400 Cloud Infrastructure
Deel Inc,services B-1801,3395717,6000 Payroll
LaunchDarkly,usage charges,5115074,6300 Software Subscriptions
Atlassian,annual renewal,5167458,6300 Software Subscriptions
Figma,monthly subscription,5483275,6300 Software Subscriptions
Twilio,monthly subscription,4466165,6420 Communications
Datadog,usage charges,4145481,6410 Monitoring & Tooling
Datadog,auto-pay,5057304,6410 Monitoring & Tooling
Retool,annual renewal,2617136,6300 Software Subscriptions
Zoom Video,,1496251,6300 Software Subscriptions
Mercury Bank,usage charges,3095150,6510 Bank Fees
Twilio,annual renewal,4334946,6420 Communications
OpenPhone,invoice B-5764,5351740,6420 Communications
Twilio,,1589212,6420 Communications
Brex,,3374876,6510 Bank Fees
Amplitude,invoice B-7399,56561,6300 Software Subscriptions
Google Cloud,monthly subscription,1073902,6400 Cloud Infrastructure
Figma,auto-pay,3855228,6300 Software Subscriptions
Figma,usage charges,4369243,6300 Software Subscriptions
Gusto Payroll,usage charges,818879,6000 Payroll
Amplitude,monthly subscription,2528308,6300 Software Subscriptions
Twilio,services B-4165,11502,6420 Communications
Snowflake,monthly subscription,5028695,6400 Cloud Infrastructure
OpenPhone,invoice B-2942,4988833,6420 Communications
WeWork,annual renewal,4688003,6200 Rent & Facilities
Amplitude,annual renewal,555574,6300 Software Subscriptions
Atlassian,services B-5683,4954997,6300 Software Subscriptions
DocuSign,usage charges,793631,6300 Software Subscriptions
Notion Labs,annual renewal,5884312,6300 Software Subscriptions
LaunchDarkly,annual renewal,4991553,6300 Software Subscriptions
Rippling,usage charges,1422195,6000 Payroll
Stripe Billing,monthly subscription,4407785,6500 Payment Processing Fees
Brex,auto-pay,3080802,6510 Bank Fees
AWS,,222376,6400 Cloud Infrastructure
Zoom Video,invoice B-3704,4182904,6300 Software Subscriptions
AWS,annual renewal,3177902,6400 Cloud Infrastructure
LaunchDarkly,annual renewal,4035868,6300 Software Subscriptions
Atlassian,monthly subscription,1417789,6300 Software Subscriptions
DocuSign,services B-1401,337029,6300 Software Subscriptions
Datadog,annual renewal,11735,6410 Monitoring & Tooling
WeWork,,4100111,6200 Rent & Facilities
LaunchDarkly,auto-pay,910478,6300 Software Subscriptions
Brex,,4977961,6510 Bank Fees
AWS,invoice B-6431,1359681,6400 Cloud Infrastructure
Twilio,usage charges,4079457,6420 Communications
OpenPhone,auto-pay,3251600,6420 Communications
LaunchDarkly,services B-5250,5481936,6300 Software Subscriptions
Figma,annual renewal,3172664,6300 Software Subscriptions
Figma,annual renewal,3930198,6300 Software Subscriptions
AWS,annual renewal,5866469,6400 Cloud Infrastructure
Segment,usage charges,2603190,6300 Software Subscriptions
WeWork,monthly subscription,5501048,6200 Rent & Facilities
Segment,monthly subscription,3066099,6300 Software Subscriptions
Snowflake,usage charges,177506,6400 Cloud Infrastructure
