vendor,memo,amount_cents,account
Zoom Video,monthly subscription,4028485,6300 Software Subscriptions
AWS,services B-4567,1408454,6400 Cloud Infrastructure
DocuSign,monthly subscription,4625371,6300 Software Subscriptions
Vercel,usage charges,4306478,6400 Cloud Infrastructure
Salesforce,auto-pay,3904443,6300 Software Subscriptions
OpenPhone,auto-pay,4089444,6420 Communications
Rippling,invoice B-5226,2708714,6000 Payroll
Twilio,invoice B-1152,4476579,6420 Communications
Amplitude,auto-pay,4793568,6300 Software Subscriptions
Zoom Video,usage charges,1410916,6300 Software Subscriptions
Mercury Bank,monthly subscription,872532,6510 Bank Fees
Deel Inc,services B-4817,5985902,6000 Payroll
Slack Technologies,monthly subscription,1143751,6300 Software Subscriptions
Segment,usage charges,1519385,6300 Software Subscriptions
AWS,annual renewal,3932509,6400 Cloud Infrastructure
Deel Inc,,252743,6000 Payroll
Vercel,services B-8390,1193774,6400 Cloud Infrastructure
Vercel,usage charges,1408569,6400 Cloud Infrastructure
LaunchDarkly,usage charges,3601126,6300 Software Subscriptions
Rippling,annual renewal,645274,6000 Payroll
Twilio,invoice B-7387,3149122,6420 Communications
Vercel,monthly subscription,3309042,6400 Cloud Infrastructure
Slack Technologies,usage charges,589149,6300 Software Subscriptions
Vercel,,5604506,6400 Cloud Infrastructure
LaunchDarkly,monthly subscription,5787702,6300 Software Subscriptions
Stripe Billing,,2539491,6500 Payment Processing Fees
Brex,invoice B-7436,5406903,6510 Bank Fees
Slack Technologies,monthly subscription,3572476,6300 Software Subscriptions
Gusto Payroll,auto-pay,1951526,6000 Payroll
LaunchDarkly,auto-pay,1622881,6300 Software Subscriptions
Brex,services B-9425,496426,6510 Bank Fees
LaunchDarkly,services B-7574,2003947,6300 Software Subscriptions
Atlassian,auto-pay,520467,6300 Software Subscriptions
Stripe Billing,auto-pay,4759945,6500 Payment Processing Fees
Brex,services B-9184,678803,6510 Bank Fees
Brex,annual renewal,2516532,6510 Bank Fees
AWS,usage charges,569961,6400 Cloud Infrastructure
Gusto Payroll,,4744874,6000 Payroll
OpenPhone,auto-pay,2240733,6420 Communications
DocuSign,services B-1620,693404,6300 Software Subscriptions
Mercury Bank,usage charges,3881436,6510 Bank Fees
Retool,monthly subscription,2080360,6300 Software Subscriptions
Snowflake,invoice B-7497,4436283,6400 Cloud Infrastructure
Snowflake,usage charges,1048756,6400 Cloud Infrastructure
Stripe Billing,invoice B-1441,5055425,6500 Payment Processing Fees
Segment,usage charges,5341934,6300 Software Subscriptions
Gusto Payroll,annual renewal,4162142,6000 Payroll
Amplitude,auto-pay,2258918,6300 Software Subscriptions
Snowflake,services B-5330,58956,6400 Cloud Infrastructure
Vercel,services B-8283,1382936,6400 Cloud Infrastructure
Mercury Bank,usage charges,1546868,6510 Bank Fees
Slack Technologies,annual renewal,3501973,6300 Software Subscriptions
Slack Technologies,annual renewal,4150704,6300 Software Subscriptions
Atlassian,invoice B-7684,4538828,6300 Software Subscriptions
Carta,invoice B-2435,793168,6600 Professional Services
LaunchDarkly,auto-pay,1054807,6300 Software Subscriptions
WeWork,auto-pay,2874296,6200 Rent & Facilities
Retool,services B-8718,4077246,6300 Software Subscriptions
Airtable,annual renewal,971966,6300 Software Subscriptions
Figma,,3681636,6300 Software Subscriptions
Segment,auto-pay,4015770,6300 Software Subscriptions
Airtable,annual renewal,5580725,6300 Software Subscriptions
WeWork,monthly subscription,3723716,6200 Rent & Facilities
WeWork,usage charges,1238460,6200 Rent & Facilities
Mercury Bank,auto-pay,4122753,6510 Bank Fees
Zoom Video,annual renewal,4196421,6300 Software Subscriptions
Segment,services B-5245,3115266,6300 Software Subscriptions
Linear,invoice B-4339,1188668,6300 Software Subscriptions
Zoom Video,services B-6015,1404946,6300 Software Subscriptions
Figma,monthly subscription,3402545,6300 Software Subscriptions
Amplitude,,968838,6300 Software Subscriptions
LaunchDarkly,,2826339,6300 Software Subscriptions
LaunchDarkly,invoice B-1380,4548284,6300 Software Subscriptions
WeWork,,4498009,6200 Rent & Facilities
Vercel,auto-pay,1080695,6400 Cloud Infrastructure
Amplitude,auto-pay,1486193,6300 Software Subscriptions
AWS,services B-7326,4299023,6400 Cloud Infrastructure
Rippling,annual renewal,2805966,6000 Payroll
AWS,invoice B-7855,2518599,6400 Cloud Infrastructure
AWS,,4021960,6400 Cloud Infrastructure
Brex,services B-5233,5818929,6510 Bank Fees
Airtable,services B-6546,2218670,6300 Software Subscriptions
Airtable,services B-1035,5122607,6300 Software Subscriptions
Slack Technologies,services B-5187,5424839,6300 Software Subscriptions
Gusto Payroll,auto-pay,5911900,6000 Payroll
Gusto Payroll,,4491427,6000 Payroll
Zoom Video,invoice B-5211,2129028,6300 Software Subscriptions
Gusto Payroll,annual renewal,1528314,6000 Payroll
Salesforce,,35418,6300 Software Subscriptions
Stripe Billing,monthly subscription,2402167,6500 Payment Processing Fees
Segment,annual renewal,503835,6300 Software Subscriptions
LaunchDarkly,,3968535,6300 Software Subscriptions
Segment,,3661644,6300 Software Subscriptions
DocuSign,invoice B-1871,2862113,6300 Software Subscriptions
Salesforce,monthly subscription,2121962,6300 Software Subscriptions
Airtable,services B-2444,2866229,6300 Software Subscriptions
Mercury Bank,usage charges,5724290,6510 Bank Fees
Figma,annual renewal,3750087,6300 Software Subscriptions
OpenPhone,,1385954,6420 Communications
WeWork,usage charges,1230612,6200 Rent & Facilities
DocuSign,annual renewal,2797120,6300 Software Subscriptions
Figma,invoice B-2338,5490963,6300 Software Subscriptions
Rippling,services B-1437,2996704,6000 Payroll
Salesforce,services B-5530,1927574,6300 Software Subscriptions
Atlassian,,3247820,6300 Software Subscriptions
Deel Inc,invoice B-5004,2120715,6000 Payroll
LaunchDarkly,auto-pay,2258270,6300 Software Subscriptions
Zoom Video,monthly subscription,3853772,6300 Software Subscriptions
Brex,usage charges,1190636,6510 Bank Fees
Deel Inc,auto-pay,620657,6000 Payroll
Segment,annual renewal,1048116,6300 Software Subscriptions
Zoom Video,annual renewal,592142,6300 Software Subscriptions
Figma,annual renewal,582866,6300 Software Subscriptions
Linear,invoice B-9954,933971,6300 Software Subscriptions
Gusto Payroll,auto-pay,3058112,6000 Payroll
LaunchDarkly,invoice B-3029,4428831,6300 Software Subscriptions
DocuSign,,3384631,6300 Software Subscriptions
Carta,,679198,6600 Professional Services
Stripe Billing,usage charges,2638307,6500 Payment Processing Fees
Airtable,annual renewal,2184159,6300 Software Subscriptions
Twilio,usage charges,746903,6420 Communications
Atlassian,auto-pay,879773,6300 Software Subscriptions
Atlassian,usage charges,5241610,6300 Software Subscriptions
Vercel,usage charges,1554657,6400 Cloud Infrastructure
AWS,usage charges,2416892,6400 Cloud Infrastructure
Linear,,5504204,6300 Software Subscriptions
Carta,usage charges,3033091,6600 Professional Services
Salesforce,services B-9318,818204,6300 Software Subscriptions
Snowflake,invoice B-7854,3237537,6400 Cloud Infrastructure
Rippling,invoice B-5480,4823145,6000 Payroll
Deel Inc,annual renewal,1240470,6000 Payroll
Brex,services B-6567,5424453,6510 Bank Fees
DocuSign,services B-4586,1665358,6300 Software Subscriptions
Figma,monthly subscription,1873846,6300 Software Subscriptions
Gusto Payroll,annual renewal,4472906,6000 Payroll
Linear,auto-pay,854913,6300 Software Subscriptions
Stripe Billing,,1584177,6500 Payment Processing Fees
DocuSign,annual renewal,1925065,6300 Software Subscriptions
Deel Inc,monthly subscription,2453934,6000 Payroll
Brex,invoice B-1297,1574727,6510 Bank Fees
Stripe Billing,annual renewal,5811740,6500 Payment Processing Fees
Stripe Billing,,5007106,6500 Payment Processing Fees
Rippling,services B-7391,705818,6000 Payroll
Deel Inc,monthly subscription,1814403,6000 Payroll
Linear,,4543436,6300 Software Subscriptions
Vercel,invoice B-5230,5538746,6400 Cloud Infrastructure
Amplitude,annual renewal,3489981,6300 Software Subscriptions
Stripe Billing,,4321058,6500 Payment Processing Fees
OpenPhone,auto-pay,3392615,6420 Communications
Rippling,monthly subscription,2316096,6000 Payroll
Figma,usage charges,5310238,6300 Software Subscriptions
WeWork,annual renewal,3960814,6200 Rent & Facilities
Brex,auto-pay,4756571,6510 Bank Fees
Amplitude,services B-1945,2471491,6300 Software Subscriptions
Amplitude,services B-5038,4469396,6300 Software Subscriptions
Vercel,services B-3508,658357,6400 Cloud Infrastructure
Vercel,monthly subscription,764808,6400 Cloud Infrastructure
Atlassian,monthly subscription,646053,6300 Software Subscriptions
Stripe Billing,annual renewal,5195600,6500 Payment Processing Fees
Slack Technologies,invoice B-3338,5054326,6300 Software Subscriptions
Rippling,services B-7116,5581472,6000 Payroll
Amplitude,services B-9087,3908829,6300 Software Subscriptions
Snowflake,invoice B-9225,3482151,6400 Cloud Infrastructure
Carta,usage charges,1042258,6600 Professional Services
Snowflake,usage charges,4931768,6400 Cloud Infrastructure
Retool,monthly subscription,3335831,6300 Software Subscriptions
Slack Technologies,usage charges,1300578,6300 Software Subscriptions
Rippling,services B-7441,1001242,6000 Payroll
Figma,annual renewal,4661290,6300 Software Subscriptions
Amplitude,services B-1997,1566771,6300 Software Subscriptions
Segment,,3899534,6300 Software Subscriptions
Carta,monthly subscription,290661,6600 Professional Services
Linear,invoice B-1173,5564289,6300 Software Subscriptions
Linear,monthly subscription,3585115,6300 Software Subscriptions
Amplitude,,957136,6300 Software Subscriptions
Airtable,usage charges,1309586,6300 Software Subscriptions
Segment,services B-5954,4617336,6300 Software Subscriptions
Snowflake,invoice B-2619,4035266,6400 Cloud Infrastructure
Rippling,invoice B-3417,557946,6000 Payroll
Deel Inc,services B-4984,5636217,6000 Payroll
Brex,usage charges,5267450,6510 Bank Fees
Deel Inc,usage charges,4060430,6000 Payroll
AWS,,4015224,6400 Cloud Infrastructure
Zoom Video,invoice B-8422,1086854,6300 Software Subscriptions
Zoom Video,monthly subscription,421355,6300 Software Subscriptions
OpenPhone,,1831618,6420 Communications
Segment,auto-pay,3225108,6300 Software Subscriptions
Brex,monthly subscription,3740245,6510 Bank Fees
AWS,,5612136,6400 Cloud Infrastructure
Deel Inc,,3197191,6000 Payroll
WeWork,,107785,6200 Rent & Facilities
Linear,services B-3637,2645423,6300 Software Subscriptions
Carta,annual renewal,3865846,6600 Professional Services
Atlassian,auto-pay,3017651,6300 Software Subscriptions
Zoom Video,auto-pay,5437373,6300 Software Subscriptions
LaunchDarkly,invoice B-7923,4844018,6300 Software Subscriptions
Slack Technologies,annual renewal,3766296,6300 Software Subscriptions
LaunchDarkly,annual renewal,3748490,6300 Software Subscriptions
WeWork,auto-pay,1914438,6200 Rent & Facilities
Rippling,annual renewal,330571,6000 Payroll
Rippling,usage charges,5033788,6000 Payroll
Deel Inc,annual renewal,1096858,6000 Payroll
Salesforce,services B-2728,1923686,6300 Software Subscriptions
Snowflake,monthly subscription,1472253,6400 Cloud Infrastructure
Slack Technologies,auto-pay,5636017,6300 Software Subscriptions
Snowflake,usage charges,4782401,6400 Cloud Infrastructure
Carta,monthly subscription,2594559,6600 Professional Services
Twilio,usage charges,5930503,6420 Communications
Rippling,usage charges,5959162,6000 Payroll
DocuSign,invoice B-8259,2119698,6300 Software Subscriptions
Mercury Bank,invoice B-5720,1721830,6510 Bank Fees
DocuSign,usage charges,4027427,6300 Software Subscriptions
Figma,,4143598,6300 Software Subscriptions
Zoom Video,usage charges,4433479,6300 Software Subscriptions
LaunchDarkly,services B-8391,3760912,6300 Software Subscriptions
Gusto Payroll,monthly subscription,3618355,6000 Payroll
Gusto Payroll,monthly subscription,4890797,6000 Payroll
Mercury Bank,annual renewal,4103635,6510 Bank Fees
Retool,usage charges,2146009,6300 Software Subscriptions
Carta,annual renewal,5348354,6600 Professional Services
Carta,annual renewal,2883017,6600 Professional Services
Brex,auto-pay,2652889,6510 Bank Fees
Amplitude,invoice B-7947,4534485,6300 Software Subscriptions
Slack Technologies,invoice B-7314,264649,6300 Software Subscriptions
DocuSign,usage charges,4849384,6300 Software Subscriptions
Salesforce,services B-1793,2407004,6300 Software Subscriptions
DocuSign,services B-6560,3866502,6300 Software Subscriptions
Airtable,auto-pay,808978,6300 Software Subscriptions
Linear,,5844193,6300 Software Subscriptions
OpenPhone,invoice B-3253,3984041,6420 Communications
Vercel,invoice B-8219,5304655,6400 Cloud Infrastructure
Airtable,usage charges,140332,6300 Software Subscriptions
Carta,usage charges,1378966,6600 Professional Services
Figma,annual renewal,2739053,6300 Software Subscriptions
WeWork,monthly subscription,3535066,6200 Rent & Facilities
Atlassian,usage charges,1837928,6300 Software Subscriptions
Stripe Billing,annual renewal,1909525,6500 Payment Processing Fees
Twilio,usage charges,2490294,6420 Communications
Mercury Bank,invoice B-4946,3899421,6510 Bank Fees
Rippling,monthly subscription,4497694,6000 Payroll
Mercury Bank,,5221901,6510 Bank Fees
OpenPhone,,762675,6420 Communications
Snowflake,auto-pay,5918203,6400 Cloud Infrastructure
Amplitude,annual renewal,4250879,6300 Software Subscriptions
Vercel,,3845599,6400 Cloud Infrastructure
LaunchDarkly,annual renewal,328495,6300 Software Subscriptions
Vercel,invoice B-5425,2215687,6400 Cloud Infrastructure
WeWork,usage charges,1279953,6200 Rent & Facilities
Amplitude,invoice B-6765,250622,6300 Software Subscriptions
LaunchDarkly,usage charges,4057631,6300 Software Subscriptions
Brex,invoice B-4195,5873459,6510 Bank Fees
Figma,services B-4902,876772,6300 Software Subscriptions
Atlassian,usage charges,4961990,6300 Software Subscriptions
LaunchDarkly,usage charges,2131321,6300 Software Subscriptions
Linear,usage charges,4819407,6300 Software Subscriptions
Linear,usage charges,1845544,6300 Software Subscriptions
DocuSign,usage charges,2118870,6300 Software Subscriptions
Snowflake,invoice B-2131,3617791,6400 Cloud Infrastructure
Gusto Payroll,,945550,6000 Payroll
Carta,services B-3599,801707,6600 Professional Services
Figma,auto-pay,3777727,6300 Software Subscriptions
Gusto Payroll,monthly subscription,871947,6000 Payroll
Linear,usage charges,2892033,6300 Software Subscriptions
Brex,invoice B-5322,3505376,6510 Bank Fees
AWS,monthly subscription,4614163,6400 Cloud Infrastructure
Salesforce,invoice B-7818,5021987,6300 Software Subscriptions
Zoom Video,annual renewal,4991546,6300 Software Subscriptions
Gusto Payroll,invoice B-6048,1496453,6000 Payroll
AWS,annual renewal,4481574,6400 Cloud Infrastructure
Rippling,services B-6099,4929664,6000 Payroll
LaunchDarkly,services B-6406,280048,6300 Software Subscriptions
Salesforce,,5105722,6300 Software Subscriptions
Retool,,2775623,6300 Software Subscriptions
LaunchDarkly,,4869243,6300 Software Subscriptions
DocuSign,invoice B-5550,2451071,6300 Software Subscriptions
Airtable,services B-2270,4969733,6300 Software Subscriptions
WeWork,invoice B-4612,51615,6200 Rent & Facilities
Zoom Video,,5881539,6300 Software Subscriptions
Zoom Video,auto-pay,5501148,6300 Software Subscriptions
Segment,invoice B-5441,2051279,6300 Software Subscriptions
Amplitude,auto-pay,2614485,6300 Software Subscriptions
Stripe Billing,services B-6011,3299432,6500 Payment Processing Fees
Zoom Video,,4975785,6300 Software Subscriptions
Atlassian,services B-5622,3100998,6300 Software Subscriptions
Stripe Billing,auto-pay,2758514,6500 Payment Processing Fees
DocuSign,usage charges,5330356,6300 Software Subscriptions
Retool,auto-pay,2863822,6300 Software Subscriptions
AWS,annual renewal,3533810,6400 Cloud Infrastructure
AWS,services B-7237,1312370,6400 Cloud Infrastructure
Snowflake,monthly subscription,5753660,6400 Cloud Infrastructure
Salesforce,usage charges,1042129,6300 Software Subscriptions
Figma,annual renewal,3405269,6300 Software Subscriptions
Snowflake,usage charges,3970839,6400 Cloud Infrastructure
Twilio,usage charges,15288,6420 Communications
Snowflake,usage charges,5321663,6400 Cloud Infrastructure
DocuSign,usage charges,1935730,6300 Software Subscriptions
Figma,,503857,6300 Software Subscriptions
Amplitude,services B-2833,1295472,6300 Software Subscriptions
Amplitude,services B-8201,3181037,6300 Software Subscriptions
Rippling,usage charges,2859060,6000 Payroll
Airtable,usage charges,2957577,6300 Software Subscriptions
Figma,auto-pay,4913391,6300 Software Subscriptions
Mercury Bank,usage charges,4945146,6510 Bank Fees
Twilio,monthly subscription,2089524,6420 Communications
Figma,invoice B-8002,3814210,6300 Software Subscriptions
Gusto Payroll,auto-pay,718384,6000 Payroll
OpenPhone,annual renewal,3251581,6420 Communications
LaunchDarkly,usage charges,1553153,6300 Software Subscriptions
Snowflake,invoice B-2714,2567151,6400 Cloud Infrastructure
LaunchDarkly,services B-2699,4309749,6300 Software Subscriptions
Atlassian,usage charges,2527871,6300 Software Subscriptions
Zoom Video,,813429,6300 Software Subscriptions
AWS,annual renewal,1333229,6400 Cloud Infrastructure
LaunchDarkly,services B-9231,1164310,6300 Software Subscriptions
Slack Technologies,auto-pay,1187850,6300 Software Subscriptions
Slack Technologies,services B-6991,816583,6300 Software Subscriptions
Brex,,3116024,6510 Bank Fees
Rippling,usage charges,2692166,6000 Payroll
Vercel,usage charges,3767164,6400 Cloud Infrastructure
Amplitude,auto-pay,2724084,6300 Software Subscriptions
Rippling,monthly subscription,3101683,6000 Payroll
Carta,monthly subscription,4399560,6600 Professional Services
Retool,annual renewal,2099247,6300 Software Subscriptions
Brex,invoice B-6722,4767360,6510 Bank Fees
Zoom Video,auto-pay,967502,6300 Software Subscriptions
Vercel,services B-7109,1624319,6400 Cloud Infrastructure
Figma,monthly subscription,2638768,6300 Software Subscriptions
Salesforce,auto-pay,2854257,6300 Software Subscriptions
Stripe Billing,usage charges,4354289,6500 Payment Processing Fees
Mercury Bank,invoice B-9449,4625162,6510 Bank Fees
Salesforce,usage charges,5537217,6300 Software Subscriptions
Linear,,4456593,6300 Software Subscriptions
Deel Inc,invoice B-3721,4497166,6000 Payroll
Airtable,,2054507,6300 Software Subscriptions
AWS,invoice B-3574,1674796,6400 Cloud Infrastructure
WeWork,,2598522,6200 Rent & Facilities
LaunchDarkly,annual renewal,1529981,6300 Software Subscriptions
Brex,usage charges,3054743,6510 Bank Fees
Carta,annual renewal,5402178,6600 Professional Services
OpenPhone,usage charges,5550495,6420 Communications
Snowflake,invoice B-8107,4828140,6400 Cloud Infrastructure
